Lake,Trip_Date,SampNo,STime,Effort,SampSite,UTMEasting,UTMNorthing,Species,Length,Weight
Acton,8/15/2016,3,2105,2544,Z03,693627,4382637,20003,74,
Acton,8/15/2016,3,2105,2544,Z03,693627,4382637,20003,54,
Acton,8/15/2016,3,2105,2544,Z03,693627,4382637,20003,82,
Acton,8/15/2016,3,2105,2544,Z03,693627,4382637,20003,70,
Acton,8/15/2016,3,2105,2544,Z03,693627,4382637,20003,69,
Acton,8/15/2016,3,2105,2544,Z03,693627,4382637,20003,47,
Acton,8/15/2016,3,2105,2544,Z03,693627,4382637,20003,68,
Acton,8/15/2016,3,2105,2544,Z03,693627,4382637,20003,61,
Acton,8/15/2016,3,2105,2544,Z03,693627,4382637,20003,71,
Acton,8/15/2016,3,2105,2544,Z03,693627,4382637,20003,66,
Acton,8/15/2016,3,2105,2544,Z03,693627,4382637,20003,46,
Acton,8/15/2016,3,2105,2544,Z03,693627,4382637,20003,53,
Acton,8/15/2016,3,2105,2544,Z03,693627,4382637,20003,76,
Acton,8/15/2016,3,2105,2544,Z03,693627,4382637,20003,52,
Acton,8/15/2016,3,2105,2544,Z03,693627,4382637,20003,57,
Acton,8/15/2016,3,2105,2544,Z03,693627,4382637,20003,74,
Acton,8/15/2016,3,2105,2544,Z03,693627,4382637,20003,60,
Acton,8/15/2016,3,2105,2544,Z03,693627,4382637,20003,77,
Acton,8/15/2016,3,2105,2544,Z03,693627,4382637,20003,60,
Acton,8/15/2016,3,2105,2544,Z03,693627,4382637,20003,43,
Acton,8/15/2016,3,2105,2544,Z03,693627,4382637,20003,62,
Acton,8/15/2016,3,2105,2544,Z03,693627,4382637,20003,66,
Acton,8/15/2016,3,2105,2544,Z03,693627,4382637,20003,43,
Acton,8/15/2016,3,2105,2544,Z03,693627,4382637,20003,44,
Acton,8/15/2016,3,2105,2544,Z03,693627,4382637,20003,42,
Acton,8/15/2016,3,2105,2544,Z03,693627,4382637,20003,61,
Acton,8/15/2016,3,2105,2544,Z03,693627,4382637,20003,68,
Acton,8/15/2016,3,2105,2544,Z03,693627,4382637,20003,65,
Acton,8/15/2016,3,2105,2544,Z03,693627,4382637,20003,70,
Acton,8/15/2016,3,2105,2544,Z03,693627,4382637,20003,47,
Acton,8/15/2016,3,2105,2544,Z03,693627,4382637,20003,58,
Acton,8/15/2016,3,2105,2544,Z03,693627,4382637,20003,56,
Acton,8/15/2016,3,2105,2544,Z03,693627,4382637,20003,45,
Acton,8/15/2016,3,2105,2544,Z03,693627,4382637,20003,58,
Acton,8/15/2016,3,2105,2544,Z03,693627,4382637,20003,43,
Acton,8/15/2016,3,2105,2544,Z03,693627,4382637,20003,54,
Acton,8/15/2016,3,2105,2544,Z03,693627,4382637,20003,39,
Acton,8/15/2016,3,2105,2544,Z03,693627,4382637,20003,63,
Acton,8/15/2016,3,2105,2544,Z03,693627,4382637,20003,38,
Acton,8/15/2016,3,2105,2544,Z03,693627,4382637,20003,66,
Acton,8/15/2016,3,2105,2544,Z03,693627,4382637,20003,70,
Acton,8/15/2016,3,2105,2544,Z03,693627,4382637,20003,69,
Acton,8/15/2016,3,2105,2544,Z03,693627,4382637,20003,42,
Acton,8/15/2016,3,2105,2544,Z03,693627,4382637,20003,66,
Acton,8/15/2016,3,2105,2544,Z03,693627,4382637,20003,48,
Acton,8/15/2016,3,2105,2544,Z03,693627,4382637,20003,52,
Acton,8/15/2016,3,2105,2544,Z03,693627,4382637,20003,65,
Acton,8/15/2016,3,2105,2544,Z03,693627,4382637,20003,57,
Acton,8/15/2016,3,2105,2544,Z03,693627,4382637,20003,41,
Acton,8/15/2016,3,2105,2544,Z03,693627,4382637,20003,50,
Acton,8/3/2015,1,1849,2368,UP2,692994,4383212,20003,92,
Acton,8/3/2015,1,1849,2368,UP2,692994,4383212,20003,81,
Acton,8/3/2015,1,1849,2368,UP2,692994,4383212,20003,52,
Acton,8/3/2015,1,1849,2368,UP2,692994,4383212,20003,86,
Acton,8/3/2015,1,1849,2368,UP2,692994,4383212,20003,78,
Acton,8/3/2015,1,1849,2368,UP2,692994,4383212,20003,33,
Acton,8/3/2015,1,1849,2368,UP2,692994,4383212,20003,82,
Acton,8/3/2015,1,1849,2368,UP2,692994,4383212,20003,84,
Acton,8/3/2015,1,1849,2368,UP2,692994,4383212,20003,29,
Acton,8/3/2015,1,1849,2368,UP2,692994,4383212,20003,41,
Acton,8/3/2015,1,1849,2368,UP2,692994,4383212,20003,32,
Acton,8/3/2015,1,1849,2368,UP2,692994,4383212,20003,34,
Acton,8/3/2015,1,1849,2368,UP2,692994,4383212,20003,96,
Acton,8/3/2015,1,1849,2368,UP2,692994,4383212,20003,90,
Acton,8/3/2015,1,1849,2368,UP2,692994,4383212,20003,56,
Acton,8/3/2015,1,1849,2368,UP2,692994,4383212,20003,37,
Acton,8/3/2015,1,1849,2368,UP2,692994,4383212,20003,52,
Acton,8/3/2015,1,1849,2368,UP2,692994,4383212,20003,37,
Acton,8/3/2015,1,1849,2368,UP2,692994,4383212,20003,34,
Acton,8/3/2015,1,1849,2368,UP2,692994,4383212,20003,35,
Acton,8/3/2015,1,1849,2368,UP2,692994,4383212,20003,71,
Acton,8/3/2015,1,1849,2368,UP2,692994,4383212,20003,43,
Acton,8/3/2015,1,1849,2368,UP2,692994,4383212,20003,34,
Acton,8/3/2015,1,1849,2368,UP2,692994,4383212,20003,41,
Acton,8/3/2015,1,1849,2368,UP2,692994,4383212,20003,84,
Acton,8/3/2015,1,1849,2368,UP2,692994,4383212,20003,81,
Acton,8/3/2015,1,1849,2368,UP2,692994,4383212,20003,81,
Acton,8/3/2015,1,1849,2368,UP2,692994,4383212,20003,37,
Acton,8/3/2015,1,1849,2368,UP2,692994,4383212,20003,36,
Acton,8/3/2015,1,1849,2368,UP2,692994,4383212,20003,59,
Acton,8/3/2015,1,1849,2368,UP2,692994,4383212,20003,28,
Acton,8/3/2015,1,1849,2368,UP2,692994,4383212,20003,42,
Acton,8/3/2015,1,1849,2368,UP2,692994,4383212,20003,28,
Acton,8/3/2015,1,1849,2368,UP2,692994,4383212,20003,71,
Acton,8/3/2015,1,1849,2368,UP2,692994,4383212,20003,36,
Acton,8/3/2015,1,1849,2368,UP2,692994,4383212,20003,36,
Acton,8/3/2015,1,1849,2368,UP2,692994,4383212,20003,30,
