Reservoir,Scenario,GRP
ACL,Hypoxia,0.016319583
ACL,Hypoxia,0.004494851
ACL,Hypoxia,0.029719718
ACL,Hypoxia,0.018685654
ACL,Hypoxia,0.003872386
ACL,Hypoxia,0.029856132
ACL,Hypoxia,0.020604694
ACL,Hypoxia,0.003349591
ACL,Hypoxia,0.02992241
ACL,Hypoxia,0.021885165
ACL,Hypoxia,0.002898948
ACL,Hypoxia,0.02995222
ACL,Hypoxia,0.022746783
ACL,Hypoxia,0.002500087
ACL,Hypoxia,0.029964917
ACL,Hypoxia,0.023359947
ACL,Hypoxia,0.02996971
ACL,Hypoxia,0.029750281
ACL,Hypoxia,0.029939658
ACL,Hypoxia,0.023764083
ACL,Hypoxia,0.030104089
ACL,Hypoxia,0.022419844
ACL,Hypoxia,0.030194034
ACL,Hypoxia,0.021872503
ACL,Hypoxia,0.016608701
ACL,Hypoxia,0.030241829
ACL,Hypoxia,0.022272003
ACL,Hypoxia,0.01584136
ACL,Hypoxia,0.030327632
ACL,Hypoxia,0.022420012
ACL,Hypoxia,0.014916724
ACL,Hypoxia,0.03035863
ACL,Hypoxia,0.022398852
ACL,Hypoxia,0.013569349
ACL,Hypoxia,0.030196093
ACL,Hypoxia,0.022941873
ACL,Hypoxia,0.011836087
ACL,Hypoxia,0.02992697
ACL,Hypoxia,0.02412325
ACL,Hypoxia,0.009965371
ACL,Hypoxia,0.030087975
ACL,Hypoxia,0.025521327
ACL,Hypoxia,0.008220434
ACL,Hypoxia,0.030247523
ACL,Hypoxia,0.025996428
ACL,Hypoxia,0.006752356
ACL,Hypoxia,0.030003734
ACL,Hypoxia,0.023934911
ACL,Hypoxia,0.005591473
ACL,Hypoxia,0.029621997
ACL,Hypoxia,0.019526028
ACL,Hypoxia,0.004697602
ACL,Hypoxia,0.029622586
ACL,Hypoxia,0.01842372
ACL,Hypoxia,0.004007752
ACL,Hypoxia,0.029763718
ACL,Hypoxia,0.019795328
ACL,Hypoxia,0.003462272
ACL,Hypoxia,0.029867634
ACL,Hypoxia,0.021217166
ACL,Hypoxia,0.003014167
ACL,Hypoxia,0.029924423
ACL,Hypoxia,0.022258347
ACL,Hypoxia,0.002629891
ACL,Hypoxia,0.029950397
ACL,Hypoxia,0.022989743
ACL,Hypoxia,0.002286993
ACL,Hypoxia,0.029960072
ACL,Hypoxia,0.029339658
ACL,Hypoxia,0.029354352
ACL,Hypoxia,0.02944136
ACL,Hypoxia,0.029587802
ACL,Hypoxia,0.025984969
ACL,Hypoxia,0.029710372
ACL,Hypoxia,0.02543958
ACL,Hypoxia,0.018561152
ACL,Hypoxia,0.029793011
ACL,Hypoxia,0.025056168
ACL,Hypoxia,0.016601057
ACL,Hypoxia,0.02987924
ACL,Hypoxia,0.024730412
ACL,Hypoxia,0.015596973
ACL,Hypoxia,0.029993722
ACL,Hypoxia,0.024385425
ACL,Hypoxia,0.015387248
ACL,Hypoxia,0.03010688
ACL,Hypoxia,0.024078757
ACL,Hypoxia,0.014924816
ACL,Hypoxia,0.030145452
ACL,Hypoxia,0.023903831
ACL,Hypoxia,0.013597827
ACL,Hypoxia,0.029906614
ACL,Hypoxia,0.023940266
ACL,Hypoxia,0.011540265
ACL,Hypoxia,0.029304609
ACL,Hypoxia,0.024498834
ACL,Hypoxia,0.009279798
ACL,Hypoxia,0.029859289
ACL,Hypoxia,0.025836994
ACL,Hypoxia,0.00728339
ACL,Hypoxia,0.030279473
ACL,Hypoxia,0.026565401
ACL,Hypoxia,0.005743409
ACL,Hypoxia,0.03018823
ACL,Hypoxia,0.025453106
ACL,Hypoxia,0.00463873
ACL,Hypoxia,0.029938753
ACL,Hypoxia,0.022986803
ACL,Hypoxia,0.003864913
ACL,Hypoxia,0.029843544
ACL,Hypoxia,0.021541419
ACL,Hypoxia,0.003313637
ACL,Hypoxia,0.029865972
ACL,Hypoxia,0.021605115
ACL,Hypoxia,0.002900492
ACL,Hypoxia,0.029910172
ACL,Hypoxia,0.022216623
ACL,Hypoxia,0.002567713
ACL,Hypoxia,0.029942226
ACL,Hypoxia,0.022846171
ACL,Hypoxia,0.002278845
ACL,Hypoxia,0.029956642
ACL,Hypoxia,0.023362991
ACL,Hypoxia,0.029959604
ACL,Hypoxia,0.029262587
ACL,Hypoxia,0.029272346
ACL,Hypoxia,0.029292957
ACL,Hypoxia,0.028140402
ACL,Hypoxia,0.023020564
ACL,Hypoxia,0.029318721
ACL,Hypoxia,0.027602476
ACL,Hypoxia,0.023408764
ACL,Hypoxia,0.029387665
ACL,Hypoxia,0.02707416
ACL,Hypoxia,0.022724341
ACL,Hypoxia,0.029480159
ACL,Hypoxia,0.026637236
ACL,Hypoxia,0.020842599
ACL,Hypoxia,0.029516059
ACL,Hypoxia,0.026432022
ACL,Hypoxia,0.017567945
ACL,Hypoxia,0.029484256
ACL,Hypoxia,0.026496487
ACL,Hypoxia,0.014116938
ACL,Hypoxia,0.02953176
ACL,Hypoxia,0.026387728
ACL,Hypoxia,0.013256352
ACL,Hypoxia,0.029718981
ACL,Hypoxia,0.025873265
ACL,Hypoxia,0.014394717
ACL,Hypoxia,0.029903898
ACL,Hypoxia,0.025358133
ACL,Hypoxia,0.014786464
ACL,Hypoxia,0.030013458
ACL,Hypoxia,0.025046049
ACL,Hypoxia,0.013391064
ACL,Hypoxia,0.029973963
ACL,Hypoxia,0.024872814
ACL,Hypoxia,0.010720846
ACL,Hypoxia,0.029794944
ACL,Hypoxia,0.024998731
ACL,Hypoxia,0.007892016
ACL,Hypoxia,0.030007051
ACL,Hypoxia,0.025681431
ACL,Hypoxia,0.005665425
ACL,Hypoxia,0.030205657
ACL,Hypoxia,0.026038831
ACL,Hypoxia,0.004183354
ACL,Hypoxia,0.03017533
ACL,Hypoxia,0.025447629
ACL,Hypoxia,0.003279791
ACL,Hypoxia,0.030052502
ACL,Hypoxia,0.02424787
ACL,Hypoxia,0.002745975
ACL,Hypoxia,0.029967981
ACL,Hypoxia,0.023306504
ACL,Hypoxia,0.002421408
ACL,Hypoxia,0.029942989
ACL,Hypoxia,0.02301105
ACL,Hypoxia,0.002201838
ACL,Hypoxia,0.02994755
ACL,Hypoxia,0.023154819
ACL,Hypoxia,0.002025732
ACL,Hypoxia,0.029957088
ACL,Hypoxia,0.023459264
ACL,Hypoxia,0.001859781
ACL,Hypoxia,0.029960657
ACL,Hypoxia,0.029958802
ACL,Hypoxia,0.029403286
ACL,Hypoxia,0.029341016
ACL,Hypoxia,0.029231642
ACL,Hypoxia,0.006163164
ACL,Hypoxia,0.029222398
ACL,Hypoxia,0.029200259
ACL,Hypoxia,0.013309731
ACL,Hypoxia,0.029172611
ACL,Hypoxia,0.029189424
ACL,Hypoxia,0.019048842
ACL,Hypoxia,0.029222473
ACL,Hypoxia,0.028888932
ACL,Hypoxia,0.022674778
ACL,Hypoxia,0.029273971
ACL,Hypoxia,0.028361012
ACL,Hypoxia,0.024252622
ACL,Hypoxia,0.029311823
ACL,Hypoxia,0.027818794
ACL,Hypoxia,0.024476815
ACL,Hypoxia,0.029363576
ACL,Hypoxia,0.027359323
ACL,Hypoxia,0.023671227
ACL,Hypoxia,0.029418974
ACL,Hypoxia,0.027007494
ACL,Hypoxia,0.021479392
ACL,Hypoxia,0.029414047
ACL,Hypoxia,0.026853778
ACL,Hypoxia,0.017046859
ACL,Hypoxia,0.029320095
ACL,Hypoxia,0.026975566
ACL,Hypoxia,0.011634763
ACL,Hypoxia,-0.00753948
ACL,Hypoxia,0.029333724
ACL,Hypoxia,0.026975247
ACL,Hypoxia,0.0110865
ACL,Hypoxia,0.029545171
ACL,Hypoxia,0.026578235
ACL,Hypoxia,0.013964727
ACL,Hypoxia,0.029760439
ACL,Hypoxia,0.026136361
ACL,Hypoxia,0.015000506
ACL,Hypoxia,0.029913576
ACL,Hypoxia,0.025843375
ACL,Hypoxia,0.012926908
ACL,Hypoxia,0.030004574
ACL,Hypoxia,0.025677047
ACL,Hypoxia,0.009022134
ACL,Hypoxia,0.03004487
ACL,Hypoxia,0.025606727
ACL,Hypoxia,0.005464493
ACL,Hypoxia,0.030097359
ACL,Hypoxia,0.025678266
ACL,Hypoxia,0.003205315
ACL,Hypoxia,0.030139462
ACL,Hypoxia,0.025652257
ACL,Hypoxia,0.002042496
ACL,Hypoxia,0.030119582
ACL,Hypoxia,0.025290797
ACL,Hypoxia,0.001543765
ACL,Hypoxia,0.030060451
ACL,Hypoxia,0.024694709
ACL,Hypoxia,0.00138671
ACL,Hypoxia,0.030006642
ACL,Hypoxia,0.02416478
ACL,Hypoxia,0.001376159
ACL,Hypoxia,0.029976752
ACL,Hypoxia,0.023895606
ACL,Hypoxia,0.001404713
ACL,Hypoxia,0.029965742
ACL,Hypoxia,0.023875549
ACL,Hypoxia,0.001418899
ACL,Hypoxia,0.029962541
ACL,Hypoxia,0.02400193
ACL,Hypoxia,0.029414427
ACL,Hypoxia,0.029082209
ACL,Hypoxia,0.029428364
ACL,Hypoxia,0.029334821
ACL,Hypoxia,-0.005001649
ACL,Hypoxia,0.02944087
ACL,Hypoxia,0.02957802
ACL,Hypoxia,-0.001012646
ACL,Hypoxia,-0.007561312
ACL,Hypoxia,0.029399084
ACL,Hypoxia,0.029534548
ACL,Hypoxia,0.006196141
ACL,Hypoxia,-0.007562685
ACL,Hypoxia,0.029210009
ACL,Hypoxia,0.029289547
ACL,Hypoxia,0.014138775
ACL,Hypoxia,-0.007560325
ACL,Hypoxia,0.029144723
ACL,Hypoxia,0.029291536
ACL,Hypoxia,0.020117755
ACL,Hypoxia,-0.007556882
ACL,Hypoxia,0.029214895
ACL,Hypoxia,0.028962725
ACL,Hypoxia,0.023768287
ACL,Hypoxia,-0.007553707
ACL,Hypoxia,0.029253123
ACL,Hypoxia,0.028381976
ACL,Hypoxia,0.025163147
ACL,Hypoxia,-0.007550958
ACL,Hypoxia,0.029261581
ACL,Hypoxia,0.027853768
ACL,Hypoxia,0.025358173
ACL,Hypoxia,-0.007548511
ACL,Hypoxia,0.029293549
ACL,Hypoxia,0.02748894
ACL,Hypoxia,0.024747709
ACL,Hypoxia,-0.007546262
ACL,Hypoxia,0.029357748
ACL,Hypoxia,0.02722124
ACL,Hypoxia,0.022956077
ACL,Hypoxia,-0.007544158
ACL,Hypoxia,0.029390399
ACL,Hypoxia,0.027016849
ACL,Hypoxia,0.019206058
ACL,Hypoxia,-0.007542178
ACL,Hypoxia,0.029351827
ACL,Hypoxia,0.026957299
ACL,Hypoxia,0.014319553
ACL,Hypoxia,-0.007540313
ACL,Hypoxia,0.029373494
ACL,Hypoxia,0.026949967
ACL,Hypoxia,0.013542935
ACL,Hypoxia,-0.007538563
ACL,Hypoxia,0.029521167
ACL,Hypoxia,0.026794419
ACL,Hypoxia,0.015879111
ACL,Hypoxia,-0.007536926
ACL,Hypoxia,0.029690101
ACL,Hypoxia,0.026547965
ACL,Hypoxia,0.015960469
ACL,Hypoxia,-0.007535399
ACL,Hypoxia,0.029829046
ACL,Hypoxia,0.026321786
ACL,Hypoxia,0.01177682
ACL,Hypoxia,0.029934224
ACL,Hypoxia,0.026144037
ACL,Hypoxia,0.005788343
ACL,Hypoxia,-0.007532658
ACL,Hypoxia,0.03000379
ACL,Hypoxia,0.025955394
ACL,Hypoxia,0.001776484
ACL,Hypoxia,-0.007531434
ACL,Hypoxia,0.030045552
ACL,Hypoxia,0.025757873
ACL,Hypoxia,7.02E-06
ACL,Hypoxia,-0.007530299
ACL,Hypoxia,0.030064738
ACL,Hypoxia,0.025553077
ACL,Hypoxia,-0.000496137
ACL,Hypoxia,0.030057191
ACL,Hypoxia,0.025280436
ACL,Hypoxia,-0.000407445
ACL,Hypoxia,0.030030542
ACL,Hypoxia,0.024949182
ACL,Hypoxia,-9.01E-05
ACL,Hypoxia,0.030000974
ACL,Hypoxia,0.02464997
ACL,Hypoxia,0.000266951
ACL,Hypoxia,0.029979095
ACL,Hypoxia,0.024464686
ACL,Hypoxia,0.000572864
ACL,Hypoxia,0.029966276
ACL,Hypoxia,0.024410776
ACL,Hypoxia,0.000792637
ACL,Hypoxia,0.029360447
ACL,Hypoxia,0.028829057
ACL,Hypoxia,-0.008074036
ACL,Hypoxia,0.029371796
ACL,Hypoxia,0.028909318
ACL,Hypoxia,-0.007889393
ACL,Hypoxia,0.029400889
ACL,Hypoxia,0.02909625
ACL,Hypoxia,-0.007300233
ACL,Hypoxia,0.029434063
ACL,Hypoxia,0.029413386
ACL,Hypoxia,-0.005717424
ACL,Hypoxia,-0.007558128
ACL,Hypoxia,0.029472609
ACL,Hypoxia,0.029783297
ACL,Hypoxia,-0.0018618
ACL,Hypoxia,-0.007565552
ACL,Hypoxia,0.029470375
ACL,Hypoxia,0.029788679
ACL,Hypoxia,0.005815373
ACL,Hypoxia,-0.007567339
ACL,Hypoxia,0.029332332
ACL,Hypoxia,0.029337747
ACL,Hypoxia,0.015294603
ACL,Hypoxia,-0.007563814
ACL,Hypoxia,0.029249483
ACL,Hypoxia,0.029113322
ACL,Hypoxia,0.021866664
ACL,Hypoxia,-0.007559501
ACL,Hypoxia,0.029244397
ACL,Hypoxia,0.02875271
ACL,Hypoxia,0.024884396
ACL,Hypoxia,-0.007555889
ACL,Hypoxia,0.029202614
ACL,Hypoxia,0.028169144
ACL,Hypoxia,0.025892212
ACL,Hypoxia,-0.007552853
ACL,Hypoxia,0.029129656
ACL,Hypoxia,0.027664063
ACL,Hypoxia,0.026130275
ACL,Hypoxia,-0.007550148
ACL,Hypoxia,0.02913719
ACL,Hypoxia,0.027438733
ACL,Hypoxia,0.025858727
ACL,Hypoxia,-0.007547647
ACL,Hypoxia,0.029255737
ACL,Hypoxia,0.02733945
ACL,Hypoxia,0.024716133
ACL,Hypoxia,-0.007545306
ACL,Hypoxia,0.02934206
ACL,Hypoxia,0.027153525
ACL,Hypoxia,0.022644694
ACL,Hypoxia,-0.007543109
ACL,Hypoxia,0.029318275
ACL,Hypoxia,0.026973162
ACL,Hypoxia,0.020401385
ACL,Hypoxia,-0.007541054
ACL,Hypoxia,0.029412142
ACL,Hypoxia,0.026964831
ACL,Hypoxia,0.019409904
ACL,Hypoxia,-0.007539141
ACL,Hypoxia,0.029532654
ACL,Hypoxia,0.026949702
ACL,Hypoxia,0.019415918
ACL,Hypoxia,-0.007537367
ACL,Hypoxia,0.029652114
ACL,Hypoxia,0.026812042
ACL,Hypoxia,0.016999414
ACL,Hypoxia,-0.007535726
ACL,Hypoxia,0.029761345
ACL,Hypoxia,0.026628039
ACL,Hypoxia,0.008713146
ACL,Hypoxia,-0.007534211
ACL,Hypoxia,0.029853339
ACL,Hypoxia,0.02643567
ACL,Hypoxia,0.000736216
ACL,Hypoxia,-0.007532815
ACL,Hypoxia,0.029917829
ACL,Hypoxia,0.026138849
ACL,Hypoxia,-0.002506811
ACL,Hypoxia,-0.007531529
ACL,Hypoxia,0.029958899
ACL,Hypoxia,0.025786547
ACL,Hypoxia,-0.003239453
ACL,Hypoxia,0.029983614
ACL,Hypoxia,0.02553217
ACL,Hypoxia,-0.002957115
ACL,Hypoxia,0.029991595
ACL,Hypoxia,0.025335656
ACL,Hypoxia,-0.002273128
ACL,Hypoxia,0.029986124
ACL,Hypoxia,0.025147835
ACL,Hypoxia,-0.001493783
ACL,Hypoxia,0.029974506
ACL,Hypoxia,0.024980797
ACL,Hypoxia,-0.000782608
ACL,Hypoxia,0.029962991
ACL,Hypoxia,0.024866176
ACL,Hypoxia,-0.00021189
ACL,Hypoxia,0.029424069
ACL,Hypoxia,0.02890929
ACL,Hypoxia,0.029342996
ACL,Hypoxia,0.028825085
ACL,Hypoxia,-0.00819346
ACL,Hypoxia,-0.007541808
ACL,Hypoxia,0.029310622
ACL,Hypoxia,0.028796573
ACL,Hypoxia,-0.008209816
ACL,Hypoxia,-0.007541765
ACL,Hypoxia,0.029336241
ACL,Hypoxia,0.028847896
ACL,Hypoxia,-0.008062445
ACL,Hypoxia,-0.007544145
ACL,Hypoxia,0.029386508
ACL,Hypoxia,0.028995391
ACL,Hypoxia,-0.007540669
ACL,Hypoxia,-0.00754945
ACL,Hypoxia,0.02943056
ACL,Hypoxia,0.029246586
ACL,Hypoxia,-0.006087971
ACL,Hypoxia,-0.007557066
ACL,Hypoxia,0.029458753
ACL,Hypoxia,0.029516409
ACL,Hypoxia,-0.002549736
ACL,Hypoxia,-0.007564614
ACL,Hypoxia,0.029452048
ACL,Hypoxia,0.02950657
ACL,Hypoxia,0.004683108
ACL,Hypoxia,-0.007567097
ACL,Hypoxia,0.029391706
