Reservoir,Scenario,GRP
ACL,Hypoxia,0.016447817
ACL,Hypoxia,-0.003080043
ACL,Hypoxia,0.021212639
ACL,Hypoxia,0.013933178
ACL,Hypoxia,-0.004576572
ACL,Hypoxia,0.019189291
ACL,Hypoxia,0.011943168
ACL,Hypoxia,-0.005470729
ACL,Hypoxia,0.020209896
ACL,Hypoxia,0.012658155
ACL,Hypoxia,-0.005962056
ACL,Hypoxia,0.021591766
ACL,Hypoxia,0.013528589
ACL,Hypoxia,-0.006225803
ACL,Hypoxia,0.021991663
ACL,Hypoxia,0.013147528
ACL,Hypoxia,-0.006367432
ACL,Hypoxia,0.022086837
ACL,Hypoxia,0.012344225
ACL,Hypoxia,-0.006444645
ACL,Hypoxia,0.022245458
ACL,Hypoxia,0.012048437
ACL,Hypoxia,-0.006488762
ACL,Hypoxia,0.022493679
ACL,Hypoxia,0.012381157
ACL,Hypoxia,-0.006516901
ACL,Hypoxia,0.022755824
ACL,Hypoxia,0.012988856
ACL,Hypoxia,-0.006538319
ACL,Hypoxia,0.022961727
ACL,Hypoxia,0.01352224
ACL,Hypoxia,-0.006557805
ACL,Hypoxia,0.02305485
ACL,Hypoxia,0.023052834
ACL,Hypoxia,0.021229289
ACL,Hypoxia,0.021165352
ACL,Hypoxia,0.021304239
ACL,Hypoxia,-0.005921559
ACL,Hypoxia,0.021011576
ACL,Hypoxia,0.02137813
ACL,Hypoxia,-0.00396739
ACL,Hypoxia,0.020868959
ACL,Hypoxia,0.021461406
ACL,Hypoxia,-4.72E-05
ACL,Hypoxia,0.020770397
ACL,Hypoxia,0.021295607
ACL,Hypoxia,0.005720544
ACL,Hypoxia,0.020668611
ACL,Hypoxia,0.020921853
ACL,Hypoxia,0.01073156
ACL,Hypoxia,0.020632008
ACL,Hypoxia,0.020511209
ACL,Hypoxia,0.013185776
ACL,Hypoxia,0.020791769
ACL,Hypoxia,0.020136443
ACL,Hypoxia,0.013334949
ACL,Hypoxia,0.021123255
ACL,Hypoxia,0.019783717
ACL,Hypoxia,0.011668949
ACL,Hypoxia,0.021424139
ACL,Hypoxia,0.019518393
ACL,Hypoxia,0.008319689
ACL,Hypoxia,0.021558989
ACL,Hypoxia,0.019518421
ACL,Hypoxia,0.004333202
ACL,Hypoxia,-0.006898091
ACL,Hypoxia,0.021710124
ACL,Hypoxia,0.019592811
ACL,Hypoxia,0.002884927
ACL,Hypoxia,0.022005326
ACL,Hypoxia,0.019468417
ACL,Hypoxia,0.002122681
ACL,Hypoxia,0.022279036
ACL,Hypoxia,0.019212795
ACL,Hypoxia,-0.000493385
ACL,Hypoxia,0.022432571
ACL,Hypoxia,0.018692974
ACL,Hypoxia,-0.003355332
ACL,Hypoxia,0.022345082
ACL,Hypoxia,0.017436921
ACL,Hypoxia,-0.00512967
ACL,Hypoxia,0.021974709
ACL,Hypoxia,0.015702315
ACL,Hypoxia,-0.00598961
ACL,Hypoxia,0.021890466
ACL,Hypoxia,0.014825102
ACL,Hypoxia,-0.006376055
ACL,Hypoxia,0.022083595
ACL,Hypoxia,0.014462546
ACL,Hypoxia,-0.006543394
ACL,Hypoxia,0.022224399
ACL,Hypoxia,0.013985157
ACL,Hypoxia,-0.006609187
ACL,Hypoxia,0.022309283
ACL,Hypoxia,0.013480205
ACL,Hypoxia,-0.0066283
ACL,Hypoxia,0.022415727
ACL,Hypoxia,0.013224988
ACL,Hypoxia,-0.006628022
ACL,Hypoxia,0.022567768
ACL,Hypoxia,0.013296348
